node_idx,weight
1,14312
2,15761
3,13260
4,11404
5,6396
6,7903
7,7520
8,13375
9,17870
10,8010
11,7731
12,5870
13,5604
14,16516
15,12346
16,7824
17,6329
18,5492
19,14241
20,11572
21,19246
22,10839
23,12051
24,9647
25,12004
26,7031
27,18069
28,11227
29,11011
30,13452
31,15698
32,19783
33,4782
34,4927
35,17838
36,7508
37,6098
38,4443
39,6682
40,19464
41,18194
42,5584
43,11497
44,16308
45,18112
46,15632
47,6675
48,10795
49,7722
50,11584
51,10280
52,13066
53,7947
54,7540
55,9711
56,5666
57,15087
58,16509
59,7496
60,14649
61,16636
62,14512
63,16270
64,19624
65,8832
66,13754
67,18631
68,13993
69,17131
70,7189
71,18745
72,13995
73,15764
74,11491
75,12975
76,15354
77,10629
78,7869
79,10099
80,17072
81,11963
82,9163
83,14701
84,15801
85,10285
86,18170
87,14625
88,9816
89,14890
90,16245
91,9628
92,5263
93,4442
94,7014
95,5085
96,13884
97,12334
98,14265
99,9796
100,8147
