idx,name,type,lat,long,open,close
0,depot,depot,39.98,-74.7,0,24
1,customer 1,customer,40.1,-74.71,13,21
2,customer 2,customer,39.99,-75.11,10,18
3,customer 3,customer,40.62,-75.56,11,19
4,customer 4,customer,40.16,-76.29,10,18
5,customer 5,customer,40.21,-76.23,11,19
6,customer 6,customer,40.73,-74.5,8,16
7,customer 7,customer,40.79,-75.32,13,21
8,customer 8,customer,40.46,-75.8,12,20
9,customer 9,customer,40.4,-76.92,7,15
10,customer 10,customer,39.86,-75.99,13,21
11,customer 11,customer,39.8,-76.5,6,14
12,customer 12,customer,39.69,-75.13,8,16
13,customer 13,customer,39.56,-75.43,13,21
14,customer 14,customer,39.9,-75.14,10,18
15,customer 15,customer,40.22,-76.94,10,18
16,customer 16,customer,40.27,-76.67,8,16
17,customer 17,customer,40.36,-74.9,6,14
18,customer 18,customer,40.33,-75.12,6,14
19,customer 19,customer,40.46,-75.05,7,15
20,customer 20,customer,40.52,-75.15,6,14
21,customer 21,customer,40.19,-76.66,10,18
22,customer 22,customer,40.28,-76.6,8,16
23,customer 23,customer,39.93,-75.15,12,20
24,customer 24,customer,40.93,-75.84,11,19
25,customer 25,customer,40.44,-76.0,9,17
26,customer 26,customer,40.23,-74.73,8,16
27,customer 27,customer,40.77,-75.82,8,16
28,customer 28,customer,40.89,-74.6,7,15
29,customer 29,customer,40.69,-74.67,7,15
30,customer 30,customer,40.13,-75.63,6,14
31,customer 31,customer,40.89,-74.97,10,18
32,customer 32,customer,40.35,-76.38,10,18
33,customer 33,customer,40.24,-76.65,13,21
34,customer 34,customer,40.39,-75.66,11,19
35,customer 35,customer,39.83,-75.81,11,19
36,customer 36,customer,39.94,-75.84,12,20
37,customer 37,customer,40.57,-75.95,11,19
38,customer 38,customer,39.88,-76.2,12,20
39,customer 39,customer,40.73,-75.96,12,20
40,customer 40,customer,40.52,-76.17,11,19
41,customer 41,customer,40.31,-76.95,8,16
42,customer 42,customer,39.99,-75.74,9,17
43,customer 43,customer,40.98,-75.54,12,20
44,customer 44,customer,40.2,-76.93,11,19
45,customer 45,customer,39.76,-75.49,11,19
46,customer 46,customer,39.97,-74.51,8,16
47,customer 47,customer,39.78,-76.96,11,19
48,customer 48,customer,40.41,-75.68,9,17
49,customer 49,customer,39.67,-74.93,12,20
50,customer 50,customer,39.55,-75.72,10,18
51,customer 51,customer,40.66,-76.76,13,21
52,customer 52,customer,40.87,-74.53,9,17
53,customer 53,customer,40.17,-75.12,9,17
54,customer 54,customer,40.61,-75.76,8,16
55,customer 55,customer,40.57,-76.08,6,14
56,customer 56,customer,39.9,-75.66,12,20
57,customer 57,customer,39.63,-76.61,9,17
58,customer 58,customer,39.89,-76.04,7,15
59,customer 59,customer,39.97,-75.71,11,19
60,customer 60,customer,39.92,-75.35,6,14
61,customer 61,customer,40.97,-74.83,10,18
62,customer 62,customer,40.65,-76.62,6,14
63,customer 63,customer,40.62,-75.65,9,17
64,customer 64,customer,39.9,-76.19,13,21
65,customer 65,customer,40.48,-75.1,9,17
66,customer 66,customer,40.85,-75.04,7,15
67,customer 67,customer,40.85,-76.95,7,15
68,customer 68,customer,39.96,-76.09,8,16
69,customer 69,customer,40.46,-75.27,12,20
70,customer 70,customer,39.77,-74.91,11,19
71,customer 71,customer,40.15,-74.55,12,20
72,customer 72,customer,40.77,-74.57,10,18
73,customer 73,customer,39.89,-76.78,7,15
74,customer 74,customer,39.75,-76.42,11,19
75,customer 75,customer,40.25,-75.42,10,18
76,customer 76,customer,40.61,-76.05,6,14
77,customer 77,customer,40.23,-75.1,8,16
78,customer 78,customer,40.79,-76.73,6,14
79,customer 79,customer,40.93,-76.0,7,15
80,customer 80,customer,40.18,-74.7,9,17
81,customer 81,customer,40.37,-76.77,11,19
82,customer 82,customer,40.15,-75.98,11,19
83,customer 83,customer,40.77,-76.55,7,15
84,customer 84,customer,40.1,-74.63,9,17
85,customer 85,customer,40.05,-75.57,13,21
86,customer 86,customer,39.94,-76.75,12,20
87,customer 87,customer,39.8,-75.77,6,14
88,customer 88,customer,39.78,-76.33,12,20
89,customer 89,customer,40.53,-76.41,10,18
90,customer 90,customer,40.94,-75.26,7,15
91,customer 91,customer,40.64,-75.03,9,17
92,customer 92,customer,40.71,-75.15,9,17
93,customer 93,customer,40.23,-76.72,8,16
94,customer 94,customer,39.9,-74.92,11,19
95,customer 95,customer,40.47,-75.09,11,19
96,customer 96,customer,40.85,-76.44,7,15
97,customer 97,customer,40.1,-76.2,12,20
98,customer 98,customer,40.26,-75.21,9,17
99,customer 99,customer,40.6,-76.49,10,18
100,customer 100,customer,40.75,-76.75,9,17
