idx,name,type,lat,long,open,close
0,depot,depot,40.24,-76.94,0,24
1,customer 1,customer,40.22,-75.08,9,17
2,customer 2,customer,40.31,-76.18,9,17
3,customer 3,customer,39.59,-74.97,12,20
4,customer 4,customer,40.22,-76.54,6,14
5,customer 5,customer,39.97,-76.92,6,14
6,customer 6,customer,40.04,-75.7,7,15
7,customer 7,customer,40.11,-76.64,13,21
8,customer 8,customer,40.02,-75.57,9,17
9,customer 9,customer,40.74,-74.83,7,15
10,customer 10,customer,40.08,-76.38,12,20
11,customer 11,customer,40.94,-76.18,9,17
12,customer 12,customer,39.75,-74.9,13,21
13,customer 13,customer,39.94,-74.58,10,18
14,customer 14,customer,39.74,-75.06,11,19
15,customer 15,customer,40.82,-75.93,8,16
16,customer 16,customer,40.99,-76.26,13,21
17,customer 17,customer,40.95,-74.71,12,20
18,customer 18,customer,39.81,-75.99,10,18
19,customer 19,customer,40.55,-75.53,8,16
20,customer 20,customer,40.55,-76.13,8,16
21,customer 21,customer,40.3,-75.33,10,18
22,customer 22,customer,40.88,-74.56,10,18
23,customer 23,customer,39.88,-76.85,11,19
24,customer 24,customer,40.26,-76.98,11,19
25,customer 25,customer,39.58,-74.84,10,18
26,customer 26,customer,39.63,-74.52,7,15
27,customer 27,customer,40.33,-75.69,10,18
28,customer 28,customer,40.84,-76.72,6,14
29,customer 29,customer,40.74,-75.93,6,14
30,customer 30,customer,39.74,-74.81,9,17
31,customer 31,customer,40.87,-75.23,8,16
32,customer 32,customer,39.62,-76.91,13,21
33,customer 33,customer,40.84,-76.42,13,21
34,customer 34,customer,40.42,-76.25,11,19
35,customer 35,customer,40.41,-75.07,10,18
36,customer 36,customer,40.78,-76.35,6,14
37,customer 37,customer,40.6,-75.75,9,17
38,customer 38,customer,39.55,-76.84,11,19
39,customer 39,customer,40.24,-74.56,11,19
40,customer 40,customer,39.53,-76.41,7,15
41,customer 41,customer,40.75,-75.18,12,20
42,customer 42,customer,40.65,-76.99,10,18
43,customer 43,customer,39.66,-75.64,9,17
44,customer 44,customer,40.56,-75.26,6,14
45,customer 45,customer,40.17,-76.85,9,17
