idx,name,type,lat,long,open,close
0,depot,depot,40.26,-76.1,0,24
1,customer 1,customer,40.13,-76.15,6,14
2,customer 2,customer,39.84,-74.51,12,20
3,customer 3,customer,40.18,-75.71,7,15
4,customer 4,customer,40.11,-76.99,9,17
5,customer 5,customer,40.55,-74.76,8,16
6,customer 6,customer,40.26,-76.48,10,18
7,customer 7,customer,40.17,-75.09,9,17
8,customer 8,customer,40.22,-74.64,10,18
9,customer 9,customer,40.56,-75.86,11,19
10,customer 10,customer,40.33,-75.87,12,20
11,customer 11,customer,39.97,-76.5,6,14
12,customer 12,customer,40.41,-75.84,8,16
13,customer 13,customer,39.75,-76.45,6,14
14,customer 14,customer,40.12,-76.43,9,17
15,customer 15,customer,40.84,-76.69,8,16
16,customer 16,customer,40.91,-74.61,7,15
17,customer 17,customer,39.66,-74.86,11,19
18,customer 18,customer,39.96,-75.76,9,17
19,customer 19,customer,40.93,-74.9,13,21
20,customer 20,customer,40.67,-74.56,11,19
