idx,name,type,lat,long,open,close
0,depot,depot,39.63,-75.05,0,24
1,customer 1,customer,40.19,-76.2,8,16
2,customer 2,customer,39.53,-75.26,13,21
3,customer 3,customer,40.36,-74.77,10,18
4,customer 4,customer,40.87,-75.06,11,19
5,customer 5,customer,40.96,-76.21,8,16
6,customer 6,customer,40.04,-75.5,12,20
7,customer 7,customer,40.28,-75.73,9,17
8,customer 8,customer,40.28,-75.32,8,16
9,customer 9,customer,40.13,-76.12,12,20
10,customer 10,customer,40.21,-75.05,6,14
11,customer 11,customer,40.36,-76.91,8,16
12,customer 12,customer,40.34,-74.67,11,19
13,customer 13,customer,40.06,-75.53,12,20
14,customer 14,customer,39.5,-75.98,8,16
15,customer 15,customer,39.71,-76.6,9,17
16,customer 16,customer,40.71,-75.23,11,19
17,customer 17,customer,39.94,-74.54,7,15
18,customer 18,customer,40.69,-75.78,11,19
19,customer 19,customer,40.79,-75.58,6,14
20,customer 20,customer,40.55,-76.6,12,20
21,customer 21,customer,40.46,-74.69,13,21
22,customer 22,customer,40.07,-74.97,8,16
23,customer 23,customer,40.39,-74.78,10,18
24,customer 24,customer,40.96,-76.37,8,16
25,customer 25,customer,40.73,-74.74,13,21
26,customer 26,customer,40.88,-76.04,7,15
27,customer 27,customer,39.98,-74.78,12,20
28,customer 28,customer,39.59,-75.09,12,20
29,customer 29,customer,39.96,-76.23,11,19
30,customer 30,customer,40.65,-75.84,8,16
31,customer 31,customer,40.87,-75.26,8,16
32,customer 32,customer,40.3,-74.85,10,18
33,customer 33,customer,39.64,-75.29,10,18
34,customer 34,customer,40.61,-75.86,6,14
35,customer 35,customer,39.89,-75.11,12,20
36,customer 36,customer,40.18,-76.24,10,18
37,customer 37,customer,40.76,-76.83,11,19
38,customer 38,customer,40.22,-74.59,6,14
39,customer 39,customer,40.19,-75.56,9,17
40,customer 40,customer,40.31,-76.54,10,18
41,customer 41,customer,39.93,-75.18,8,16
42,customer 42,customer,40.0,-75.85,6,14
43,customer 43,customer,40.56,-75.44,6,14
44,customer 44,customer,40.58,-75.69,8,16
45,customer 45,customer,40.25,-75.25,12,20
46,customer 46,customer,40.12,-75.86,6,14
47,customer 47,customer,40.39,-75.81,7,15
48,customer 48,customer,40.96,-74.66,10,18
49,customer 49,customer,40.96,-76.08,11,19
50,customer 50,customer,40.38,-76.98,13,21
51,customer 51,customer,39.71,-76.77,10,18
52,customer 52,customer,39.55,-76.52,11,19
53,customer 53,customer,40.85,-75.6,6,14
54,customer 54,customer,40.96,-75.39,12,20
55,customer 55,customer,40.47,-75.68,12,20
56,customer 56,customer,40.56,-76.45,8,16
57,customer 57,customer,40.73,-76.85,9,17
58,customer 58,customer,40.24,-75.44,6,14
59,customer 59,customer,39.79,-76.48,9,17
60,customer 60,customer,39.98,-75.32,12,20
61,customer 61,customer,39.82,-74.72,7,15
62,customer 62,customer,40.29,-76.41,11,19
63,customer 63,customer,40.75,-74.7,6,14
64,customer 64,customer,40.26,-76.71,8,16
65,customer 65,customer,39.82,-76.2,9,17
66,customer 66,customer,40.85,-74.51,6,14
67,customer 67,customer,39.56,-75.19,6,14
68,customer 68,customer,40.13,-75.93,11,19
69,customer 69,customer,39.6,-75.73,7,15
70,customer 70,customer,39.56,-75.93,11,19
