idx,name,type,lat,long,open,close
0,depot,depot,40.39,-74.63,0,24
1,customer 1,customer,40.89,-75.22,11,19
2,customer 2,customer,40.92,-75.24,9,17
3,customer 3,customer,39.56,-75.09,10,18
4,customer 4,customer,40.84,-76.77,9,17
5,customer 5,customer,40.74,-75.26,7,15
6,customer 6,customer,40.25,-74.55,6,14
7,customer 7,customer,40.32,-75.01,6,14
8,customer 8,customer,39.51,-75.14,6,14
9,customer 9,customer,40.5,-74.83,6,14
10,customer 10,customer,40.25,-74.68,11,19
11,customer 11,customer,40.81,-75.01,7,15
12,customer 12,customer,40.89,-76.76,6,14
13,customer 13,customer,40.34,-74.82,11,19
14,customer 14,customer,40.94,-75.69,10,18
15,customer 15,customer,40.86,-75.67,11,19
16,customer 16,customer,39.89,-75.35,8,16
17,customer 17,customer,39.95,-76.41,13,21
18,customer 18,customer,40.64,-75.73,8,16
19,customer 19,customer,39.77,-75.81,11,19
20,customer 20,customer,40.25,-74.66,6,14
21,customer 21,customer,39.89,-76.61,9,17
22,customer 22,customer,40.7,-75.98,10,18
23,customer 23,customer,40.85,-74.57,6,14
24,customer 24,customer,40.18,-75.68,10,18
25,customer 25,customer,40.38,-76.48,6,14
26,customer 26,customer,40.02,-75.18,8,16
27,customer 27,customer,40.44,-75.31,8,16
28,customer 28,customer,40.83,-75.04,10,18
29,customer 29,customer,40.13,-76.74,6,14
30,customer 30,customer,40.5,-74.6,8,16
31,customer 31,customer,39.56,-76.6,10,18
32,customer 32,customer,39.8,-75.72,13,21
33,customer 33,customer,40.37,-76.14,7,15
34,customer 34,customer,39.65,-76.17,10,18
35,customer 35,customer,39.91,-74.78,10,18
36,customer 36,customer,39.6,-74.56,6,14
37,customer 37,customer,39.93,-75.89,9,17
38,customer 38,customer,40.86,-74.69,6,14
39,customer 39,customer,40.51,-75.8,11,19
40,customer 40,customer,40.1,-76.06,12,20
41,customer 41,customer,39.87,-75.89,10,18
42,customer 42,customer,39.77,-75.96,9,17
43,customer 43,customer,39.95,-75.48,7,15
44,customer 44,customer,40.64,-75.02,7,15
45,customer 45,customer,39.73,-75.8,11,19
46,customer 46,customer,39.75,-74.59,6,14
47,customer 47,customer,40.46,-76.19,13,21
48,customer 48,customer,40.6,-76.24,6,14
49,customer 49,customer,40.15,-76.44,9,17
50,customer 50,customer,40.01,-75.48,10,18
51,customer 51,customer,40.65,-75.72,10,18
52,customer 52,customer,39.91,-75.59,6,14
53,customer 53,customer,40.57,-75.96,7,15
54,customer 54,customer,40.25,-75.44,13,21
55,customer 55,customer,39.7,-75.62,11,19
56,customer 56,customer,41.0,-74.62,9,17
57,customer 57,customer,40.63,-75.35,11,19
58,customer 58,customer,39.52,-75.89,12,20
59,customer 59,customer,40.96,-76.58,12,20
60,customer 60,customer,39.89,-76.5,11,19
61,customer 61,customer,40.2,-76.02,7,15
62,customer 62,customer,39.89,-75.19,8,16
63,customer 63,customer,39.8,-76.88,8,16
64,customer 64,customer,40.26,-76.41,12,20
65,customer 65,customer,40.42,-74.63,12,20
66,customer 66,customer,40.73,-75.26,6,14
67,customer 67,customer,39.8,-76.84,12,20
68,customer 68,customer,40.71,-75.5,7,15
69,customer 69,customer,40.07,-76.52,13,21
70,customer 70,customer,40.72,-76.9,13,21
71,customer 71,customer,40.35,-74.58,13,21
72,customer 72,customer,39.9,-74.69,11,19
73,customer 73,customer,39.67,-75.2,12,20
74,customer 74,customer,39.78,-75.79,13,21
75,customer 75,customer,39.64,-75.42,12,20
76,customer 76,customer,40.99,-74.93,6,14
77,customer 77,customer,40.22,-74.54,7,15
78,customer 78,customer,39.57,-75.52,12,20
79,customer 79,customer,40.3,-75.95,10,18
80,customer 80,customer,40.57,-75.86,12,20
