node_idx,weight
1,15243
2,7006
3,4437
4,7738
5,8290
6,17769
7,19830
8,14573
9,15343
10,12479
11,4892
12,18016
13,11626
14,8554
15,16236
16,5931
17,18254
18,4738
19,13487
20,17295
21,15732
22,4594
23,18017
24,16825
25,19887
26,11177
27,6997
28,16551
29,15074
30,17298
31,19952
32,5678
33,13381
34,16438
35,7359
36,11093
37,9835
38,14542
39,13004
40,12009
41,15526
42,8604
43,5962
44,19505
45,11480
46,9403
47,18540
48,17246
49,10507
50,15609
51,5757
52,7468
53,13899
54,18800
55,8551
56,11997
57,6879
58,10530
59,14616
60,8500
61,12739
62,8768
63,14377
64,8885
65,9384
66,19167
67,13272
68,4659
69,11948
70,13601
71,11006
72,4808
73,6781
74,10448
75,9180
76,9091
77,10172
78,15952
79,16766
80,14359
