idx,name,type,lat,long,open,close
0,depot,depot,39.8,-74.97,0,24
1,customer 1,customer,39.89,-76.09,7,15
2,customer 2,customer,39.78,-74.83,7,15
3,customer 3,customer,40.85,-74.71,13,21
4,customer 4,customer,40.86,-75.45,10,18
5,customer 5,customer,40.46,-75.42,9,17
6,customer 6,customer,40.57,-75.19,6,14
7,customer 7,customer,40.95,-74.64,9,17
8,customer 8,customer,40.43,-76.71,11,19
9,customer 9,customer,39.83,-75.41,6,14
10,customer 10,customer,40.48,-74.69,8,16
11,customer 11,customer,40.83,-74.51,7,15
12,customer 12,customer,39.88,-74.57,7,15
13,customer 13,customer,40.96,-75.41,6,14
14,customer 14,customer,40.89,-75.8,12,20
15,customer 15,customer,40.2,-76.3,12,20
16,customer 16,customer,39.52,-75.21,7,15
17,customer 17,customer,39.58,-76.66,12,20
18,customer 18,customer,40.17,-76.29,12,20
19,customer 19,customer,40.29,-76.23,11,19
20,customer 20,customer,40.39,-75.68,13,21
21,customer 21,customer,41.0,-76.93,7,15
22,customer 22,customer,40.94,-76.18,7,15
23,customer 23,customer,39.73,-76.88,10,18
24,customer 24,customer,40.01,-75.68,9,17
25,customer 25,customer,40.94,-76.08,6,14
26,customer 26,customer,40.7,-75.32,6,14
27,customer 27,customer,40.46,-75.12,7,15
28,customer 28,customer,40.76,-74.62,11,19
29,customer 29,customer,40.1,-74.91,12,20
30,customer 30,customer,39.57,-75.22,8,16
31,customer 31,customer,40.62,-76.6,13,21
32,customer 32,customer,40.73,-75.06,13,21
33,customer 33,customer,39.84,-74.53,12,20
34,customer 34,customer,40.75,-76.93,6,14
35,customer 35,customer,40.14,-76.24,6,14
36,customer 36,customer,40.87,-74.93,6,14
37,customer 37,customer,40.24,-75.25,7,15
38,customer 38,customer,40.29,-76.01,8,16
39,customer 39,customer,40.06,-76.4,11,19
40,customer 40,customer,39.76,-75.78,13,21
41,customer 41,customer,40.73,-75.18,13,21
42,customer 42,customer,40.36,-76.47,7,15
43,customer 43,customer,40.54,-74.88,11,19
44,customer 44,customer,39.66,-75.0,11,19
45,customer 45,customer,39.73,-75.42,6,14
46,customer 46,customer,39.56,-75.29,10,18
47,customer 47,customer,39.98,-76.23,9,17
48,customer 48,customer,40.49,-75.66,11,19
49,customer 49,customer,40.19,-74.82,13,21
50,customer 50,customer,40.84,-74.58,6,14
