idx,name,type,lat,long,open,close
0,depot,depot,40.06,-76.01,0,24
1,customer 1,customer,39.92,-75.03,9,17
2,customer 2,customer,39.93,-75.27,12,20
3,customer 3,customer,39.98,-75.44,13,21
4,customer 4,customer,40.83,-76.94,9,17
5,customer 5,customer,39.69,-74.61,7,15
6,customer 6,customer,40.79,-76.18,10,18
7,customer 7,customer,39.71,-76.45,11,19
8,customer 8,customer,40.86,-76.2,9,17
9,customer 9,customer,40.41,-74.95,8,16
10,customer 10,customer,40.64,-76.19,10,18
11,customer 11,customer,40.12,-75.46,11,19
12,customer 12,customer,40.74,-74.69,12,20
13,customer 13,customer,40.24,-74.8,11,19
14,customer 14,customer,39.92,-76.74,8,16
15,customer 15,customer,40.95,-75.31,6,14
16,customer 16,customer,39.87,-74.57,11,19
17,customer 17,customer,40.12,-74.98,7,15
18,customer 18,customer,40.23,-76.13,12,20
19,customer 19,customer,40.12,-74.53,11,19
20,customer 20,customer,39.94,-74.83,11,19
21,customer 21,customer,40.83,-76.52,8,16
22,customer 22,customer,40.24,-75.45,6,14
23,customer 23,customer,39.71,-76.78,6,14
24,customer 24,customer,39.86,-74.71,7,15
25,customer 25,customer,40.86,-74.88,13,21
26,customer 26,customer,40.87,-75.92,8,16
27,customer 27,customer,39.74,-75.7,13,21
28,customer 28,customer,39.85,-76.15,10,18
29,customer 29,customer,39.82,-76.79,8,16
30,customer 30,customer,40.23,-75.16,6,14
31,customer 31,customer,40.96,-76.47,10,18
32,customer 32,customer,39.85,-75.2,9,17
33,customer 33,customer,40.41,-74.63,6,14
34,customer 34,customer,40.01,-75.06,11,19
35,customer 35,customer,40.32,-75.73,13,21
36,customer 36,customer,40.44,-76.35,9,17
37,customer 37,customer,40.67,-76.77,8,16
38,customer 38,customer,40.85,-76.16,8,16
39,customer 39,customer,39.6,-75.9,10,18
40,customer 40,customer,39.61,-74.84,6,14
41,customer 41,customer,40.35,-76.15,11,19
42,customer 42,customer,40.97,-76.62,9,17
43,customer 43,customer,39.62,-74.67,6,14
44,customer 44,customer,40.63,-76.08,10,18
45,customer 45,customer,40.57,-75.49,8,16
46,customer 46,customer,39.64,-75.58,12,20
47,customer 47,customer,40.11,-76.24,11,19
48,customer 48,customer,39.6,-76.56,12,20
49,customer 49,customer,39.83,-75.04,13,21
50,customer 50,customer,39.64,-76.27,13,21
51,customer 51,customer,40.54,-76.96,10,18
52,customer 52,customer,40.22,-76.41,8,16
53,customer 53,customer,39.68,-74.76,11,19
54,customer 54,customer,40.1,-75.62,11,19
55,customer 55,customer,39.69,-74.69,12,20
56,customer 56,customer,40.51,-76.72,9,17
57,customer 57,customer,40.67,-74.67,10,18
58,customer 58,customer,39.5,-75.66,11,19
59,customer 59,customer,39.84,-76.42,7,15
60,customer 60,customer,41.0,-76.76,13,21
