node_idx,weight
1,17535
2,19882
3,5940
4,11667
5,18096
6,7678
7,13254
8,18872
9,12788
10,5565
11,17049
12,18969
13,14200
14,9630
15,4184
16,14601
17,11336
18,4916
19,9074
20,17450
21,19465
22,19686
23,10779
24,10346
25,17608
26,8450
27,13919
28,15209
29,12381
30,8951
31,5682
32,18879
33,17935
34,9286
35,8363
36,4247
37,13925
38,11251
39,15077
40,12934
41,17708
42,17844
43,7049
44,17015
45,19528
46,4671
47,14396
48,7770
49,6599
50,4841
51,6107
52,5534
53,12939
54,17719
55,14892
56,11170
57,19551
58,10493
59,10612
60,14718
