idx,name,type,lat,long,open,close
0,depot,depot,39.81,-74.68,0,24
1,customer 1,customer,40.42,-76.26,7,15
2,customer 2,customer,40.25,-75.17,8,16
3,customer 3,customer,39.96,-75.58,6,14
4,customer 4,customer,39.52,-75.89,12,20
5,customer 5,customer,39.79,-75.65,10,18
6,customer 6,customer,40.63,-74.96,13,21
7,customer 7,customer,39.92,-75.31,11,19
8,customer 8,customer,39.72,-74.92,6,14
9,customer 9,customer,40.0,-76.63,12,20
10,customer 10,customer,40.33,-74.94,11,19
11,customer 11,customer,40.75,-76.2,13,21
12,customer 12,customer,39.52,-75.64,8,16
13,customer 13,customer,39.9,-75.56,10,18
14,customer 14,customer,39.7,-76.44,7,15
15,customer 15,customer,40.38,-74.81,7,15
16,customer 16,customer,40.96,-75.63,11,19
17,customer 17,customer,40.78,-76.58,13,21
18,customer 18,customer,40.93,-75.89,6,14
19,customer 19,customer,39.76,-76.86,12,20
20,customer 20,customer,40.22,-76.49,8,16
21,customer 21,customer,40.07,-76.23,11,19
22,customer 22,customer,39.74,-76.37,12,20
23,customer 23,customer,40.1,-74.65,11,19
24,customer 24,customer,39.66,-76.0,7,15
25,customer 25,customer,40.5,-76.49,9,17
26,customer 26,customer,40.27,-74.93,10,18
27,customer 27,customer,40.31,-75.76,6,14
28,customer 28,customer,40.45,-76.99,10,18
29,customer 29,customer,39.65,-76.38,10,18
30,customer 30,customer,40.31,-75.98,11,19
31,customer 31,customer,39.53,-76.65,12,20
32,customer 32,customer,40.27,-76.22,7,15
33,customer 33,customer,40.0,-75.51,12,20
34,customer 34,customer,39.95,-75.71,12,20
35,customer 35,customer,40.44,-74.63,13,21
36,customer 36,customer,39.74,-75.04,7,15
37,customer 37,customer,40.59,-75.73,7,15
38,customer 38,customer,40.06,-74.59,13,21
39,customer 39,customer,40.67,-75.78,8,16
40,customer 40,customer,40.8,-74.97,6,14
