node_idx,weight
1,6693
2,19975
3,12881
4,14748
5,13873
6,16319
7,17426
8,11197
9,13889
10,16116
11,12168
12,17661
13,14653
14,7560
15,6367
16,12503
17,18537
18,7726
19,16890
20,17776
21,16913
22,14727
23,11834
24,8937
25,15346
26,11271
27,14060
28,17677
29,9030
30,17734
31,9412
32,5166
33,10045
34,4498
35,15220
36,19427
37,18941
38,8039
39,14753
40,15925
41,16572
42,10831
43,17377
44,14038
45,10820
46,7442
47,9346
48,6849
49,17402
50,8614
51,14123
52,8672
53,10148
54,7456
55,18122
56,5024
57,13772
58,14497
59,6975
60,6279
61,7900
62,9098
63,12405
64,15429
65,9088
66,16718
67,9787
68,16003
69,14496
70,19167
71,12967
72,13055
73,12978
74,6958
75,8476
76,12068
77,6760
78,7419
79,16199
80,8572
81,8251
82,9656
83,12036
84,15425
85,17852
86,5716
87,8765
88,13637
89,7544
90,8874
