idx,name,type,lat,long,open,close
0,depot,depot,40.37,-75.98,0,24
1,customer 1,customer,39.53,-75.81,8,16
2,customer 2,customer,40.12,-76.28,12,20
3,customer 3,customer,40.3,-74.7,9,17
4,customer 4,customer,40.02,-76.43,8,16
5,customer 5,customer,40.61,-75.39,11,19
6,customer 6,customer,40.71,-76.93,7,15
7,customer 7,customer,39.83,-74.73,9,17
8,customer 8,customer,39.52,-75.1,12,20
9,customer 9,customer,39.61,-74.8,8,16
10,customer 10,customer,40.06,-75.07,12,20
11,customer 11,customer,40.42,-74.95,13,21
12,customer 12,customer,39.8,-75.76,9,17
13,customer 13,customer,39.52,-74.89,8,16
14,customer 14,customer,40.12,-74.79,10,18
15,customer 15,customer,40.55,-75.69,9,17
16,customer 16,customer,40.75,-75.69,7,15
17,customer 17,customer,40.43,-76.48,7,15
18,customer 18,customer,40.93,-75.69,12,20
19,customer 19,customer,40.83,-74.67,10,18
20,customer 20,customer,39.79,-74.65,13,21
21,customer 21,customer,40.13,-75.13,10,18
22,customer 22,customer,40.32,-75.96,7,15
23,customer 23,customer,40.84,-76.51,9,17
24,customer 24,customer,40.14,-76.05,13,21
25,customer 25,customer,40.14,-76.93,13,21
26,customer 26,customer,39.66,-74.52,9,17
27,customer 27,customer,39.9,-74.92,12,20
28,customer 28,customer,40.47,-75.15,11,19
29,customer 29,customer,40.42,-75.69,11,19
30,customer 30,customer,39.81,-76.26,11,19
31,customer 31,customer,40.35,-76.99,10,18
32,customer 32,customer,40.05,-74.72,11,19
33,customer 33,customer,39.95,-74.95,9,17
34,customer 34,customer,40.88,-76.08,6,14
35,customer 35,customer,40.87,-75.44,12,20
36,customer 36,customer,39.73,-74.82,13,21
37,customer 37,customer,40.15,-76.64,13,21
38,customer 38,customer,40.96,-75.77,12,20
39,customer 39,customer,39.89,-76.31,12,20
40,customer 40,customer,40.3,-76.63,13,21
41,customer 41,customer,39.99,-76.14,12,20
42,customer 42,customer,40.03,-76.08,12,20
43,customer 43,customer,40.45,-76.85,11,19
44,customer 44,customer,40.97,-75.81,12,20
45,customer 45,customer,40.07,-75.96,7,15
46,customer 46,customer,40.42,-76.99,12,20
47,customer 47,customer,40.45,-74.59,13,21
48,customer 48,customer,39.99,-74.63,6,14
49,customer 49,customer,40.14,-76.8,9,17
50,customer 50,customer,39.76,-74.57,8,16
51,customer 51,customer,40.05,-76.99,8,16
52,customer 52,customer,40.61,-74.58,9,17
53,customer 53,customer,40.02,-74.65,13,21
54,customer 54,customer,39.98,-75.13,9,17
55,customer 55,customer,39.69,-76.6,10,18
56,customer 56,customer,39.81,-75.93,10,18
57,customer 57,customer,40.12,-76.63,11,19
58,customer 58,customer,40.24,-76.55,7,15
59,customer 59,customer,40.37,-74.81,9,17
60,customer 60,customer,40.34,-76.45,6,14
61,customer 61,customer,39.67,-76.09,12,20
62,customer 62,customer,39.82,-75.06,13,21
63,customer 63,customer,40.29,-76.86,10,18
64,customer 64,customer,40.34,-75.27,7,15
65,customer 65,customer,39.56,-75.11,12,20
66,customer 66,customer,40.19,-74.84,13,21
67,customer 67,customer,39.69,-75.9,10,18
68,customer 68,customer,40.04,-75.5,8,16
69,customer 69,customer,40.39,-75.58,9,17
70,customer 70,customer,40.55,-76.54,8,16
71,customer 71,customer,40.93,-75.43,13,21
72,customer 72,customer,39.85,-74.68,10,18
73,customer 73,customer,40.73,-74.73,8,16
74,customer 74,customer,39.7,-76.07,11,19
75,customer 75,customer,40.76,-76.8,6,14
76,customer 76,customer,40.17,-75.94,13,21
77,customer 77,customer,40.51,-75.2,7,15
78,customer 78,customer,40.47,-76.23,10,18
79,customer 79,customer,40.04,-76.71,6,14
80,customer 80,customer,39.7,-74.63,9,17
81,customer 81,customer,39.95,-76.57,12,20
82,customer 82,customer,39.75,-75.27,9,17
83,customer 83,customer,39.6,-74.97,12,20
84,customer 84,customer,39.88,-74.79,10,18
85,customer 85,customer,39.98,-76.71,9,17
86,customer 86,customer,40.88,-75.19,9,17
87,customer 87,customer,40.85,-75.2,12,20
88,customer 88,customer,39.97,-75.61,6,14
89,customer 89,customer,39.53,-75.28,12,20
90,customer 90,customer,40.13,-75.9,11,19
