idx,name,type,lat,long,open,close
0,depot,depot,39.93,-75.78,0,24
1,customer 1,customer,40.13,-74.67,13,21
2,customer 2,customer,40.77,-75.74,7,15
3,customer 3,customer,40.11,-74.85,7,15
4,customer 4,customer,40.23,-76.68,7,15
5,customer 5,customer,40.6,-76.4,9,17
6,customer 6,customer,39.85,-74.91,11,19
7,customer 7,customer,40.4,-76.29,13,21
8,customer 8,customer,39.98,-75.87,9,17
9,customer 9,customer,39.95,-75.42,6,14
10,customer 10,customer,40.74,-75.65,12,20
11,customer 11,customer,40.21,-74.65,11,19
12,customer 12,customer,39.99,-76.16,13,21
13,customer 13,customer,39.96,-75.33,13,21
14,customer 14,customer,40.27,-76.91,13,21
15,customer 15,customer,39.5,-75.05,12,20
16,customer 16,customer,39.87,-76.65,11,19
17,customer 17,customer,40.54,-76.23,9,17
18,customer 18,customer,39.71,-76.98,10,18
19,customer 19,customer,40.39,-75.39,9,17
20,customer 20,customer,40.43,-74.68,12,20
21,customer 21,customer,40.59,-74.66,6,14
22,customer 22,customer,40.58,-74.84,9,17
23,customer 23,customer,40.25,-76.99,6,14
24,customer 24,customer,40.65,-76.57,13,21
25,customer 25,customer,40.2,-75.64,8,16
26,customer 26,customer,40.47,-76.64,7,15
27,customer 27,customer,39.76,-76.35,10,18
28,customer 28,customer,40.84,-76.93,11,19
29,customer 29,customer,40.52,-75.81,6,14
30,customer 30,customer,39.93,-74.62,8,16
31,customer 31,customer,40.01,-74.83,10,18
32,customer 32,customer,40.84,-74.75,11,19
33,customer 33,customer,39.92,-76.58,8,16
34,customer 34,customer,39.6,-75.65,13,21
35,customer 35,customer,40.39,-76.97,7,15
